title,app_id,manifest_version,script-scr:unsafe-eval,script-scr:unsafe-eval-base64-hash,script-scr:unsafe-inline,script-scr:unsafe-inline-base64-hash,script-src:non-localhost-http-url,style-scr:unsafe-eval,style-scr:unsafe-eval-base64-hash,style-scr:unsafe-inline,style-scr:unsafe-inline-base64-hash,style-src:non-localhost-http-url,good#default-src,good#base-uri,good#form-action,good#frame-ancestors,good#plugin-types,good#report-uri,good#sandbox
Naruto Wallpaper HD Custom New Tab,adfdkanmpllbiciihdhnlpoakjodfnoh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETRADE Browser Trading,adgjomjdnhlppcidahijhehhfgneaolh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUTBIN,adicaaffkmhgnfheifkjhopmambgfihl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Retriever HD Wallpaper New Tab Themes,adinhneoefkmeakfgfojklhkdpamgame,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norton Password Manager,admmjipmmciaobhojoghlmleefbicajg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibou,adndegnbdnefpaelcbpdchpngejmggbl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Sounds - Mood Relax Focus,adoagmhhahleigcjmgdjhdghoagadoak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share to Classroom,adokjfanaflbkibffcbhihgihpgijcei,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ixigo inspire,adpjkecnjfmgneijfljandenedleocdo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embark - New Tab Page,aeajehgeohhgjbhhbicilpenjfcbfnpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HackMIT Go,aebbebohffjpnifkhjninighbpimlgfl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
