title,app_id,activeTab,alarms,background,bookmarks,browsingData,certificateProvider,clipboardRead,clipboardWrite,contentSettings,contextMenus,cookies,debugger,declarativeContent,declarativeNetRequest,declarativeWebRequest,desktopCapture,displaySource,dns,documentScan,downloads,enterprise.deviceAttributes,enterprise.hardwarePlatform,enterprise.platformKeys,experimental,fileBrowserHandler,fileSystemProvider,fontSettings,gcm,geolocation,history,identity,idle,idltest,management,nativeMessaging,networking.config,notifications,pageCapture,platformKeys,power,printerProvider,privacy,processes,proxy,sessions,signedInDevices,storage,system.cpu,system.display,system.memory,system.storage,tabCapture,tabs,topSites,tts,ttsEngine,unlimitedStorage,vpnProvider,wallpaper,webNavigation,webRequest,webRequestBlocking
Christmas Decorations HD Wallpapers New Tab,hhkkmopgkdkggppjngbfemjfbfipigaj,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Candy Crush Saga Full HD Custom New Tab,dkdmnbboikgooebimeefjmecmlkhhpig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex Legends New Tab & Wallpapers Collection,bpiajhalnjjgfobliknionkphipfbmfg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McLaren P1 Wallpaper HD Custom New Tab,dglgdmaamlhnfojcmbegfaemolnoejeb,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
uBlock Origin,cjpalhdlnbpafiamejdnhcphjbkeiagm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
File Converter - By Online-Convertcom,dicgkflojhbopmagcacdklcpdfdcnhko,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nba Youngboy Wallpaper HD Custom New Tab,glibnbcgclecomknccifdaglefljfoej,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Minion Rush New Tab & Wallpapers Collection,ebaeidnfogbbjgjfiaedecpdgfppgmdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamborghini New Tab & Wallpapers Collection,kgjjnhgpckocbnefoeiinmgiobkailmb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kpop Fromis_9 Wallpaper HD Custom New Tab,ipnepolfndgmebapipefmnfabbclohne,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Surfshark VPN Extension - Fast & Secure Proxy,ailoabdmgclmfmhdagmlohpjlbpffblp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Outlookcom,pfpeapihoiogbcmdmnibeplnikfnhoge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
